Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-s3b7,branch-wcx7,branch-spxp
18,1754561330749,07/08/2025 10:08,1754561329565,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 9 ,Slightly Disagree,Eligible,Voucher,Yes
19,1754561330749,07/08/2025 10:08,1754561329565,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 9 -quantised,3,Eligible,Voucher,Yes
20,1754561330749,07/08/2025 10:08,1754561329566,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 10 ,Definitely Disagree,Eligible,Voucher,Yes
21,1754561330749,07/08/2025 10:08,1754561329566,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 10 -quantised,4,Eligible,Voucher,Yes
22,1754561330749,07/08/2025 10:08,1754561329567,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 11 ,Slightly Agree,Eligible,Voucher,Yes
23,1754561330852,07/08/2025 10:08,1754561329567,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 11 -quantised,2,Eligible,Voucher,Yes
24,1754561330852,07/08/2025 10:08,1754561329567,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 12 ,Slightly Disagree,Eligible,Voucher,Yes
25,1754561330852,07/08/2025 10:08,1754561329567,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 12 -quantised,3,Eligible,Voucher,Yes
26,1754561330852,07/08/2025 10:08,1754561329568,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 13 ,Slightly Disagree,Eligible,Voucher,Yes
27,1754561330852,07/08/2025 10:08,1754561329568,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 13 -quantised,3,Eligible,Voucher,Yes
28,1754561330852,07/08/2025 10:08,1754561329568,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 14 ,Slightly Agree,Eligible,Voucher,Yes
29,1754561330852,07/08/2025 10:08,1754561329568,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 14 -quantised,2,Eligible,Voucher,Yes
30,1754561330852,07/08/2025 10:08,1754561329569,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 15 ,Definitely Agree,Eligible,Voucher,Yes
31,1754561330852,07/08/2025 10:08,1754561329569,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 15 -quantised,1,Eligible,Voucher,Yes
32,1754561330852,07/08/2025 10:08,1754561329569,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 16,Definitely Agree,Eligible,Voucher,Yes
33,1754561330852,07/08/2025 10:08,1754561329570,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 16-quantised,1,Eligible,Voucher,Yes
34,1754561330852,07/08/2025 10:08,1754561329570,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 17,Definitely Agree,Eligible,Voucher,Yes
35,1754561330852,07/08/2025 10:08,1754561329570,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 17-quantised,1,Eligible,Voucher,Yes
36,1754561330852,07/08/2025 10:08,1754561329570,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 18,Slightly Agree,Eligible,Voucher,Yes
37,1754561330852,07/08/2025 10:08,1754561329571,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 18-quantised,2,Eligible,Voucher,Yes
38,1754561330852,07/08/2025 10:08,1754561329571,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 19 ,Slightly Disagree,Eligible,Voucher,Yes
39,1754561330852,07/08/2025 10:08,1754561329571,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 19 -quantised,3,Eligible,Voucher,Yes
40,1754561330852,07/08/2025 10:08,1754561329572,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 20,Slightly Disagree,Eligible,Voucher,Yes
41,1754561330852,07/08/2025 10:08,1754561329572,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 20-quantised,3,Eligible,Voucher,Yes
42,1754561330852,07/08/2025 10:08,1754561329572,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 21,Slightly Agree,Eligible,Voucher,Yes
43,1754561330953,07/08/2025 10:08,1754561329573,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 21-quantised,2,Eligible,Voucher,Yes
44,1754561330953,07/08/2025 10:08,1754561329573,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 22,Slightly Disagree,Eligible,Voucher,Yes
45,1754561330953,07/08/2025 10:08,1754561329573,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 22-quantised,3,Eligible,Voucher,Yes
46,1754561330953,07/08/2025 10:08,1754561329574,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 23 ,Slightly Agree,Eligible,Voucher,Yes
47,1754561330953,07/08/2025 10:08,1754561329574,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 23 -quantised,2,Eligible,Voucher,Yes
48,1754561330953,07/08/2025 10:08,1754561329574,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 24,Slightly Disagree,Eligible,Voucher,Yes
49,1754561330953,07/08/2025 10:08,1754561329575,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 24-quantised,3,Eligible,Voucher,Yes
50,1754561330953,07/08/2025 10:08,1754561329575,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 25,Slightly Agree,Eligible,Voucher,Yes
51,1754561330953,07/08/2025 10:08,1754561329576,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 25-quantised,2,Eligible,Voucher,Yes
52,1754561330953,07/08/2025 10:08,1754561329576,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 26 ,Slightly Disagree,Eligible,Voucher,Yes
53,1754561330953,07/08/2025 10:08,1754561329576,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 26 -quantised,3,Eligible,Voucher,Yes
54,1754561330953,07/08/2025 10:08,1754561329577,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 27 ,Slightly Agree,Eligible,Voucher,Yes
55,1754561330953,07/08/2025 10:08,1754561329577,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 27 -quantised,2,Eligible,Voucher,Yes
56,1754561330953,07/08/2025 10:08,1754561329578,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 28,Slightly Agree,Eligible,Voucher,Yes
57,1754561330953,07/08/2025 10:08,1754561329578,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 28-quantised,2,Eligible,Voucher,Yes
58,1754561330953,07/08/2025 10:08,1754561329578,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,END QUESTIONNAIRE,184576,Eligible,Voucher,Yes
1,1755278691339,15/08/2025 17:24,1755278691281,1,15/08/2025 18:24,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher,Yes
2,1755278837395,15/08/2025 17:27,1755278837296,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 1 ,Definitely Agree,Eligible,Voucher,Yes
3,1755278837457,15/08/2025 17:27,1755278837297,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 1 -quantised,1,Eligible,Voucher,Yes
4,1755278837457,15/08/2025 17:27,1755278837297,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 2 ,Definitely Agree,Eligible,Voucher,Yes
5,1755278837457,15/08/2025 17:27,1755278837297,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 2 -quantised,1,Eligible,Voucher,Yes
6,1755278837457,15/08/2025 17:27,1755278837297,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 3 ,Slightly Agree,Eligible,Voucher,Yes
7,1755278837457,15/08/2025 17:27,1755278837297,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 3 -quantised,2,Eligible,Voucher,Yes
8,1755278837457,15/08/2025 17:27,1755278837298,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 4 ,Definitely Agree,Eligible,Voucher,Yes
9,1755278837457,15/08/2025 17:27,1755278837298,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 4 -quantised,1,Eligible,Voucher,Yes
10,1755278837457,15/08/2025 17:27,1755278837298,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 5,Definitely Disagree,Eligible,Voucher,Yes
11,1755278837457,15/08/2025 17:27,1755278837298,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 5-quantised,4,Eligible,Voucher,Yes
12,1755278837457,15/08/2025 17:27,1755278837298,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 6 ,Definitely Agree,Eligible,Voucher,Yes
13,1755278837457,15/08/2025 17:27,1755278837298,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 6 -quantised,1,Eligible,Voucher,Yes
14,1755278837457,15/08/2025 17:27,1755278837299,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 7,Definitely Agree,Eligible,Voucher,Yes
15,1755278837457,15/08/2025 17:27,1755278837299,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 7-quantised,1,Eligible,Voucher,Yes
16,1755278837457,15/08/2025 17:27,1755278837299,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 8 ,Definitely Disagree,Eligible,Voucher,Yes
17,1755278837457,15/08/2025 17:27,1755278837299,1,15/08/2025 18:27,233799,28,questionnaire-zmbq,,48712465,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1897x954,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 8 -quantised,4,Eligible,Voucher,Yes
